cnae_secao,records,carteira_ativa_total
PJ - Indústrias de transformação,459656,16724379.338705
PJ - Comércio; reparação de veículos automotores e motocicletas,247088,4826662.509730941
"PJ - Transporte, armazenagem e correio",24081,1405394.96399555
"PJ - Agricultura, pecuária, produção florestal, pesca e aqüicultura",41920,1221740.1565411799
PJ - Atividades administrativas e serviços complementares,15398,913110.1789395601
PJ - Indústrias extrativas,10274,800691.16002373
"PJ - Atividades profissionais, científicas e técnicas",11141,209346.85724259
"PJ - Atividades financeiras, de seguros e serviços relacionados",3347,196334.50117588
PJ - Construção,8235,109725.63534087
PJ - Eletricidade e gás,1220,95322.26474938
