NombreInstitucion,amount_fx,market_share,cumulative_share
BANCO DE CRÉDITO E INVERSIONES,3570.538366435905,29.48,29.48
ITAÚ CORPBANCA,2280.7868798349,18.83,48.31
BANCO SANTANDER-CHILE,1653.621115808115,13.65,61.96
SCOTIABANK CHILE,1583.799977977069,13.08,75.04
BANCO DE CHILE,1136.113814816174,9.38,84.42
BANCO DEL ESTADO DE CHILE,897.512971889426,7.41,91.83
BANCO BICE,321.063364523276,2.65,94.48
BANCO SECURITY,255.130546135543,2.11,96.59
CORPBANCA,217.927891,1.8,98.39
BANCO CONSORCIO,195.097734908102,1.61,100.0
