DescripcionCuenta,amount_fx,pct
Préstamos comerciales,5088.950018395712,21.0
COLOCACIONES COMERCIALES,4484.407982,18.51
Préstamos en el país,2365.203177449162,9.76
Créditos de comercio exterior,1957.062638208152,8.08
Préstamos en el exterior,1776.30437785574,7.33
BANCOS DEL EXTERIOR,1693.026522,6.99
Préstamos y otras obligaciones,1500.933323340002,6.19
Otros créditos para exportaciones chilenas,1197.002233612102,4.94
Financiamientos de comercio exterior,1132.431372855782,4.67
Bancos del exterior,938.469438781876,3.87
Otros créditos para importaciones chilenas,521.191081420438,2.15
Préstamos con mutuos hipotecarios endosables para fines generales,520.26065509081,2.15
Préstamos con mutuos hipotecarios endosables,427.181808,1.76
Financiamientos para exportaciones chilenas,342.163525143176,1.41
Préstamos interbancarios comerciales,288.51364104402,1.19
