country_group,fiscal_year,txn_count,approved_usd_millions,disbursed_usd_millions
Brazil,2007,60,219.846,206.436
Brazil,2008,47,874.906,851.963
Brazil,2009,62,436.229,396.906
Brazil,2010,83,254.856,222.903
Brazil,2011,60,381.679,375.16
Brazil,2012,67,966.719,779.467
Brazil,2013,63,212.871,204.666
Brazil,2014,49,159.182,148.151
Brazil,2015,33,33.428,30.229
Brazil,2016,28,16.602,13.586
Brazil,2017,45,60.937,45.277
Brazil,2018,68,101.826,90.347
Brazil,2019,79,123.012,114.954
Brazil,2020,64,125.951,98.235
Brazil,2021,63,83.85,60.716
Brazil,2022,84,116.203,99.507
Brazil,2023,76,130.761,106.702
Brazil,2024,62,97.785,86.149
Brazil,2025,34,112.899,16.759
Chile,2007,2,142.767,137.815
Chile,2008,8,432.831,426.097
Chile,2009,3,10.529,0.838
Chile,2010,13,288.086,263.694
Chile,2011,9,244.384,235.48
Chile,2012,17,1091.103,1022.329
Chile,2013,13,323.356,320.143
Chile,2014,15,261.128,243.179
Chile,2015,6,1.062,2.557
Chile,2016,4,2.35,4.087
Chile,2017,6,3.668,2.072
Chile,2018,9,3.482,4.294
Chile,2019,8,2.88,3.95
Chile,2020,14,16.514,12.084
Chile,2021,11,13.622,8.043
Chile,2022,7,4.879,1.921
Chile,2023,10,4.647,4.02
Chile,2024,12,3.683,5.413
Chile,2025,6,3.67,3.081
Mexico,2007,301,991.328,948.643
Mexico,2008,239,1424.6,1443.067
Mexico,2009,182,1689.799,1739.376
Mexico,2010,281,1814.837,1203.085
Mexico,2011,246,1632.415,1777.634
Mexico,2012,252,2825.838,2859.723
Mexico,2013,216,2063.453,2158.084
Mexico,2014,205,1592.393,1519.341
Mexico,2015,118,1943.429,986.904
Mexico,2016,71,116.55,160.927
Mexico,2017,100,98.602,117.648
Mexico,2018,114,114.501,159.487
Mexico,2019,101,119.366,151.902
Mexico,2020,86,519.211,77.085
Mexico,2021,91,75.995,61.719
Mexico,2022,78,100.762,82.484
Mexico,2023,58,111.623,80.646
Mexico,2024,61,70.793,38.212
Mexico,2025,30,19.864,2.519
Peru,2007,31,39.287,25.64
Peru,2008,22,424.367,338.108
Peru,2009,12,45.899,48.563
Peru,2010,17,79.9,77.014
Peru,2011,13,40.119,28.141
Peru,2012,22,62.738,18.916
Peru,2013,12,6.616,4.769
Peru,2014,14,76.219,64.475
Peru,2015,6,5.513,1.0
Peru,2017,4,1.228,1.116
Peru,2018,7,2.156,0.557
Peru,2019,11,4.385,2.701
Peru,2020,7,1.528,1.196
Peru,2021,8,2.646,2.148
Peru,2022,10,0.878,1.061
Peru,2023,8,0.774,0.732
Peru,2024,14,2.955,2.492
Peru,2025,7,0.68,0.092
