country_group,fiscal_year,Program,approved_usd_millions,share_pct
Brazil,2007,Guarantee,180.865,82.27
Brazil,2007,Insurance,38.981,17.73
Brazil,2008,Guarantee,843.462,96.41
Brazil,2008,Insurance,19.626,2.24
Brazil,2008,Loan,11.818,1.35
Brazil,2009,Guarantee,305.109,69.94
Brazil,2009,Insurance,44.616,10.23
Brazil,2009,Loan,86.504,19.83
Brazil,2010,Guarantee,177.769,69.75
Brazil,2010,Insurance,77.086,30.25
Brazil,2011,Guarantee,233.273,61.12
Brazil,2011,Insurance,68.602,17.97
Brazil,2011,Loan,79.804,20.91
Brazil,2012,Guarantee,745.507,77.12
Brazil,2012,Insurance,63.345,6.55
Brazil,2012,Loan,157.866,16.33
Brazil,2013,Guarantee,167.061,78.48
Brazil,2013,Insurance,45.81,21.52
Brazil,2014,Guarantee,99.029,62.21
Brazil,2014,Insurance,60.153,37.79
Brazil,2015,Guarantee,2.868,8.58
Brazil,2015,Insurance,30.56,91.42
Brazil,2016,Insurance,16.602,100.0
Brazil,2017,Guarantee,29.982,49.2
Brazil,2017,Insurance,30.955,50.8
Brazil,2018,Guarantee,61.57,60.47
Brazil,2018,Insurance,40.256,39.53
Brazil,2019,Guarantee,56.414,45.86
Brazil,2019,Insurance,66.599,54.14
Brazil,2020,Guarantee,65.95,52.36
Brazil,2020,Insurance,60.002,47.64
Brazil,2021,Guarantee,66.495,79.3
Brazil,2021,Insurance,17.354,20.7
Brazil,2022,Guarantee,77.334,66.55
Brazil,2022,Insurance,38.869,33.45
Brazil,2023,Guarantee,64.956,49.68
Brazil,2023,Insurance,65.804,50.32
Brazil,2024,Guarantee,58.073,59.39
Brazil,2024,Insurance,39.711,40.61
Brazil,2025,Guarantee,79.999,70.86
Brazil,2025,Insurance,32.9,29.14
Chile,2007,Guarantee,142.767,100.0
Chile,2008,Guarantee,426.821,98.61
Chile,2008,Insurance,6.009,1.39
Chile,2009,Guarantee,1.047,9.94
Chile,2009,Insurance,9.482,90.06
Chile,2010,Guarantee,263.33,91.41
Chile,2010,Insurance,24.756,8.59
Chile,2011,Guarantee,238.549,97.61
Chile,2011,Insurance,5.835,2.39
Chile,2012,Guarantee,1072.333,98.28
Chile,2012,Insurance,18.77,1.72
Chile,2013,Guarantee,313.689,97.01
Chile,2013,Insurance,9.667,2.99
Chile,2014,Guarantee,246.302,94.32
Chile,2014,Insurance,14.826,5.68
Chile,2015,Insurance,1.062,100.0
Chile,2016,Insurance,2.35,100.0
Chile,2017,Guarantee,1.508,41.1
Chile,2017,Insurance,2.16,58.9
Chile,2018,Insurance,3.482,100.0
Chile,2019,Insurance,2.88,100.0
Chile,2020,Guarantee,6.168,37.35
Chile,2020,Insurance,10.346,62.65
Chile,2021,Guarantee,1.784,13.1
Chile,2021,Insurance,11.838,86.9
Chile,2022,Insurance,4.879,100.0
Chile,2023,Guarantee,2.158,46.44
Chile,2023,Insurance,2.489,53.56
Chile,2024,Guarantee,2.262,61.42
Chile,2024,Insurance,1.421,38.58
Chile,2025,Guarantee,3.081,83.94
Chile,2025,Insurance,0.59,16.06
Mexico,2007,Guarantee,657.318,66.31
Mexico,2007,Insurance,334.01,33.69
Mexico,2008,Guarantee,1197.743,84.08
Mexico,2008,Insurance,226.858,15.92
Mexico,2009,Guarantee,341.962,20.24
Mexico,2009,Insurance,297.838,17.63
Mexico,2009,Loan,1050.0,62.14
Mexico,2010,Guarantee,1266.769,69.8
Mexico,2010,Insurance,467.09,25.74
Mexico,2010,Loan,80.978,4.46
Mexico,2011,Guarantee,954.977,58.5
Mexico,2011,Insurance,377.438,23.12
Mexico,2011,Loan,300.0,18.38
Mexico,2012,Guarantee,2487.612,88.03
Mexico,2012,Insurance,338.226,11.97
Mexico,2013,Guarantee,1805.68,87.51
Mexico,2013,Insurance,257.774,12.49
Mexico,2014,Guarantee,1240.658,77.91
Mexico,2014,Insurance,272.152,17.09
Mexico,2014,Loan,79.584,5.0
Mexico,2015,Guarantee,1748.078,89.95
Mexico,2015,Insurance,195.351,10.05
Mexico,2016,Guarantee,23.836,20.45
Mexico,2016,Insurance,92.713,79.55
Mexico,2017,Guarantee,25.279,25.64
Mexico,2017,Insurance,73.323,74.36
Mexico,2018,Guarantee,33.067,28.88
Mexico,2018,Insurance,81.434,71.12
Mexico,2019,Guarantee,36.286,30.4
Mexico,2019,Insurance,83.08,69.6
Mexico,2020,Guarantee,429.548,82.73
Mexico,2020,Insurance,89.663,17.27
Mexico,2021,Guarantee,22.195,29.21
Mexico,2021,Insurance,53.8,70.79
Mexico,2022,Guarantee,21.085,20.93
Mexico,2022,Insurance,79.677,79.07
Mexico,2023,Guarantee,58.788,52.67
Mexico,2023,Insurance,52.834,47.33
Mexico,2024,Guarantee,48.921,69.1
Mexico,2024,Insurance,21.872,30.9
Mexico,2025,Guarantee,1.895,9.54
Mexico,2025,Insurance,17.969,90.46
Peru,2007,Guarantee,14.307,36.42
Peru,2007,Insurance,24.979,63.58
Peru,2008,Guarantee,412.723,97.26
Peru,2008,Insurance,11.644,2.74
Peru,2009,Guarantee,15.419,33.59
Peru,2009,Insurance,30.48,66.41
Peru,2010,Guarantee,0.721,0.9
Peru,2010,Insurance,79.179,99.1
Peru,2011,Guarantee,0.96,2.39
Peru,2011,Insurance,39.159,97.61
Peru,2012,Insurance,62.738,100.0
Peru,2013,Guarantee,2.645,39.98
Peru,2013,Insurance,3.971,60.02
Peru,2014,Guarantee,1.277,1.68
Peru,2014,Insurance,10.17,13.34
Peru,2014,Loan,64.773,84.98
Peru,2015,Insurance,5.457,98.98
Peru,2015,Loan,0.056,1.02
Peru,2017,Guarantee,0.891,72.52
Peru,2017,Insurance,0.338,27.48
Peru,2018,Insurance,2.156,100.0
Peru,2019,Guarantee,2.698,61.52
Peru,2019,Insurance,1.688,38.48
Peru,2020,Guarantee,1.119,73.21
Peru,2020,Insurance,0.41,26.79
Peru,2021,Guarantee,1.696,64.11
Peru,2021,Insurance,0.95,35.89
Peru,2022,Insurance,0.878,100.0
Peru,2023,Insurance,0.774,100.0
Peru,2024,Guarantee,1.57,53.12
Peru,2024,Insurance,1.386,46.88
Peru,2025,Insurance,0.68,100.0
