country_group,Primary Borrower,approved_amount,approved_usd_millions
Brazil,EMBRAER NETHERLANDS FINANCE B.V.,205520000,205.52
Brazil,"H.E. Rentals, Inc.",3063060,3.063
Brazil,Petrobras Netherlands B V,308211360,308.211
Brazil,SPC/Global Helicopters B.V.,20603393,20.603
Brazil,SPC/Lider Aircraft Leasing B.V.,60894983,60.895
Brazil,Spv/International Helicopter Leasing B.V,18476023,18.476
Mexico,"Black Diamond Air, LLC",3015482,3.015
Mexico,"Cambridge-Lee Holdings, Inc",3400000,3.4
Mexico,"Cambridge-Lee Industries, Inc.",9000000,9.0
Mexico,"Delta International, LLC",360000,0.36
Mexico,"Manny Logistic, LLC",735110,0.735
Mexico,Rotor Leasing LLC,10301690,10.302
Mexico,"Rotor XM, LLC",10683000,10.683
Mexico,TVPX Aircraft Solutions Inc.,1096382,1.096
Mexico,"U.S. Seeds, Inc.",490000,0.49
