country_region,Trade_Finance_count,Trade_Finance_mean,Trade_Finance_sum,Trade_Finance_min,Trade_Finance_max,period_min,period_max
BRAZIL,117,4019.95,470334.0,83.0,10192.0,2015Q2,2024Q4
CHILE,117,1633.76,191150.0,8.0,3903.0,2015Q2,2024Q4
MEXICO,117,741.74,86784.0,7.0,1717.0,2015Q2,2024Q4
PERU,117,520.74,60926.0,0.0,1777.0,2015Q2,2024Q4
COLOMBIA,117,476.43,55742.0,0.0,1651.0,2015Q2,2024Q4
GUATEMALA,117,449.35,52574.0,31.0,1114.0,2015Q2,2024Q4
PANAMA,117,270.97,31704.0,5.0,610.0,2015Q2,2024Q4
DOMINICAN REPUBLIC,117,202.34,23674.0,0.0,580.0,2015Q2,2024Q4
CAYMAN ISLANDS,117,177.9,20814.0,0.0,1304.0,2015Q2,2024Q4
ARGENTINA,117,121.35,14198.0,0.0,388.0,2015Q2,2024Q4
COSTA RICA,117,110.92,12978.0,0.0,383.0,2015Q2,2024Q4
ECUADOR,117,108.21,12660.0,4.0,278.0,2015Q2,2024Q4
HONDURAS,117,96.55,11296.0,0.0,230.0,2015Q2,2024Q4
EL SALVADOR,117,95.79,11208.0,0.0,343.0,2015Q2,2024Q4
URUGUAY,117,57.66,6746.0,0.0,205.0,2015Q2,2024Q4
BAHAMAS,117,27.9,3264.0,0.0,186.0,2015Q2,2024Q4
ANGUILLA,117,16.31,1908.0,0.0,76.0,2015Q2,2024Q4
VENEZUELA,117,14.5,1696.0,0.0,55.0,2015Q2,2024Q4
