year,quarter,period,bank_group,country_region,Trade_Finance
2015,2,2015Q2,All Others,ANGUILLA,1.0
2015,2,2015Q2,All Others,ARGENTINA,6.0
2015,2,2015Q2,All Others,BRAZIL,537.0
2015,2,2015Q2,All Others,CHILE,33.0
2015,2,2015Q2,All Others,COLOMBIA,42.0
2015,2,2015Q2,All Others,COSTA RICA,52.0
2015,2,2015Q2,All Others,DOMINICAN REPUBLIC,48.0
2015,2,2015Q2,All Others,ECUADOR,4.0
2015,2,2015Q2,All Others,EL SALVADOR,27.0
2015,2,2015Q2,All Others,GUATEMALA,130.0
2015,2,2015Q2,All Others,HONDURAS,20.0
2015,2,2015Q2,All Others,MEXICO,285.0
2015,2,2015Q2,All Others,PERU,94.0
2015,2,2015Q2,All Others,URUGUAY,1.0
2015,2,2015Q2,All Others,VENEZUELA,34.0
2015,2,2015Q2,All Others,BAHAMAS,1.0
2015,2,2015Q2,All Others,CAYMAN ISLANDS,22.0
2015,2,2015Q2,All Others,PANAMA,57.0
2015,2,2015Q2,LFI,ANGUILLA,0.0
2015,2,2015Q2,LFI,ARGENTINA,279.0
2015,2,2015Q2,LFI,BRAZIL,9655.0
2015,2,2015Q2,LFI,CHILE,2312.0
2015,2,2015Q2,LFI,COLOMBIA,1562.0
2015,2,2015Q2,LFI,COSTA RICA,242.0
2015,2,2015Q2,LFI,DOMINICAN REPUBLIC,391.0
2015,2,2015Q2,LFI,ECUADOR,172.0
2015,2,2015Q2,LFI,EL SALVADOR,263.0
2015,2,2015Q2,LFI,GUATEMALA,871.0
2015,2,2015Q2,LFI,HONDURAS,109.0
2015,2,2015Q2,LFI,MEXICO,1432.0
2015,2,2015Q2,LFI,PERU,1037.0
2015,2,2015Q2,LFI,URUGUAY,110.0
2015,2,2015Q2,LFI,VENEZUELA,14.0
2015,2,2015Q2,LFI,BAHAMAS,17.0
2015,2,2015Q2,LFI,CAYMAN ISLANDS,183.0
2015,2,2015Q2,LFI,PANAMA,245.0
2015,2,2015Q2,All Banks,ANGUILLA,1.0
2015,2,2015Q2,All Banks,ARGENTINA,285.0
2015,2,2015Q2,All Banks,BRAZIL,10192.0
2015,2,2015Q2,All Banks,CHILE,2345.0
2015,2,2015Q2,All Banks,COLOMBIA,1604.0
2015,2,2015Q2,All Banks,COSTA RICA,294.0
2015,2,2015Q2,All Banks,DOMINICAN REPUBLIC,439.0
2015,2,2015Q2,All Banks,ECUADOR,176.0
2015,2,2015Q2,All Banks,EL SALVADOR,290.0
2015,2,2015Q2,All Banks,GUATEMALA,1001.0
2015,2,2015Q2,All Banks,HONDURAS,129.0
2015,2,2015Q2,All Banks,MEXICO,1717.0
2015,2,2015Q2,All Banks,PERU,1131.0
2015,2,2015Q2,All Banks,URUGUAY,111.0
2015,2,2015Q2,All Banks,VENEZUELA,48.0
2015,2,2015Q2,All Banks,BAHAMAS,18.0
2015,2,2015Q2,All Banks,CAYMAN ISLANDS,205.0
2015,2,2015Q2,All Banks,PANAMA,302.0
2015,3,2015Q3,All Others,ANGUILLA,1.0
2015,3,2015Q3,All Others,ARGENTINA,4.0
2015,3,2015Q3,All Others,BRAZIL,536.0
2015,3,2015Q3,All Others,CHILE,8.0
2015,3,2015Q3,All Others,COLOMBIA,3.0
2015,3,2015Q3,All Others,COSTA RICA,29.0
2015,3,2015Q3,All Others,DOMINICAN REPUBLIC,30.0
2015,3,2015Q3,All Others,ECUADOR,16.0
2015,3,2015Q3,All Others,EL SALVADOR,29.0
2015,3,2015Q3,All Others,GUATEMALA,138.0
2015,3,2015Q3,All Others,HONDURAS,14.0
2015,3,2015Q3,All Others,MEXICO,256.0
2015,3,2015Q3,All Others,PERU,48.0
2015,3,2015Q3,All Others,URUGUAY,1.0
2015,3,2015Q3,All Others,VENEZUELA,4.0
2015,3,2015Q3,All Others,BAHAMAS,0.0
2015,3,2015Q3,All Others,CAYMAN ISLANDS,23.0
2015,3,2015Q3,All Others,PANAMA,61.0
2015,3,2015Q3,LFI,ANGUILLA,0.0
2015,3,2015Q3,LFI,ARGENTINA,339.0
2015,3,2015Q3,LFI,BRAZIL,9571.0
2015,3,2015Q3,LFI,CHILE,2772.0
2015,3,2015Q3,LFI,COLOMBIA,1531.0
2015,3,2015Q3,LFI,COSTA RICA,211.0
2015,3,2015Q3,LFI,DOMINICAN REPUBLIC,419.0
2015,3,2015Q3,LFI,ECUADOR,109.0
2015,3,2015Q3,LFI,EL SALVADOR,246.0
2015,3,2015Q3,LFI,GUATEMALA,861.0
2015,3,2015Q3,LFI,HONDURAS,100.0
2015,3,2015Q3,LFI,MEXICO,1225.0
2015,3,2015Q3,LFI,PERU,975.0
2015,3,2015Q3,LFI,URUGUAY,79.0
2015,3,2015Q3,LFI,VENEZUELA,11.0
2015,3,2015Q3,LFI,BAHAMAS,14.0
2015,3,2015Q3,LFI,CAYMAN ISLANDS,152.0
2015,3,2015Q3,LFI,PANAMA,294.0
2015,3,2015Q3,All Banks,ANGUILLA,1.0
2015,3,2015Q3,All Banks,ARGENTINA,343.0
