year_month,lc_usd_mn,trade_bn,lc_trade_ratio
2022-01,272.09,1.11,24.41
2022-02,442.97,1.11,39.73
2022-03,315.57,1.11,28.31
2022-04,594.97,1.11,53.37
2022-05,677.62,1.11,60.78
2022-06,464.84,1.11,41.7
2022-07,400.98,1.11,35.97
2022-08,459.43,1.11,41.21
2022-09,484.59,1.11,43.47
2022-10,476.05,1.11,42.7
2022-11,461.75,1.11,41.42
2022-12,410.85,1.11,36.85
2023-01,383.3,1.13,33.9
2023-02,419.64,1.13,37.12
2023-03,483.34,1.13,42.75
2023-04,480.06,1.13,42.46
2023-05,504.63,1.13,44.64
2023-06,522.37,1.13,46.21
2023-07,542.76,1.13,48.01
2023-08,516.59,1.13,45.7
2023-09,491.49,1.13,43.47
2023-10,516.63,1.13,45.7
2023-11,530.96,1.13,46.97
2023-12,532.34,1.13,47.09
2024-01,549.71,,
2024-02,508.29,,
2024-03,500.43,,
2024-04,447.4,,
2024-05,476.05,,
2024-06,451.97,,
2024-07,455.35,,
2024-08,466.11,,
2024-09,474.08,,
2024-10,487.18,,
2024-11,504.33,,
2024-12,518.71,,
2025-01,483.47,,
2025-02,441.09,,
2025-03,491.43,,
2025-04,523.69,,
2025-05,456.92,,
2025-06,403.3,,
2025-07,413.85,,
2025-08,421.26,,
