institucion_std,amount_pen,market_share,cumulative
B. BBVA Perú,826606689538.9401,28.86,28.86
Banco de Crédito del Perú,609489681727.55,21.28,50.14
Scotiabank Perú,573903163200.69,20.04,70.18
Interbank,316188404383.04,11.04,81.22
BanBif (Banco Interamericano de Finanzas),219969712682.26,7.68,88.9
B. Pichincha,126310901817.15,4.41,93.31
Citibank,75409823875.11,2.63,95.94
B. Santander Perú,68117178814.36,2.38,98.32
B. GNB,35770520439.72,1.25,99.57
Bancom (Banco de Comercio),12511221740.36,0.44,100.01
