anio,amount_pen,amount_usd,usd_share
2010,25984113977.32,9235236517.583261,26.22
2011,109382232502.18,39732235911.587166,26.65
2012,106909820501.45,40629859499.24611,27.54
2013,130635871984.06999,47866849572.1251,26.82
2014,166514859540.91,58433053865.194145,25.98
2015,215736627437.09,67304843781.0914,23.78
2016,206957662968.2,61224294147.82179,22.83
2017,205273017033.52,63080347261.15902,23.51
2018,247750823939.8,75231991924.6732,23.29
2019,230848687227.92,69108619775.46938,23.04
2020,201467263778.0,57545714448.30005,22.22
2021,217626653490.44,55529697242.91421,20.33
2022,276886700515.99,72062458287.41975,20.65
2023,276145196995.83,73915782753.32504,21.12
2024,257236323471.57,68458384957.87307,21.02
