anio,Corporate,Large,Medium,Micro,Small
2010,3546695373.271062,3818481255.5418224,1782281033.9140775,13232977.215940889,74545877.64035931
2011,14083118715.758095,17257620051.02883,8031637343.508721,74004032.39355183,285855768.8979653
2012,13976750412.838017,17810356603.1002,8463009091.686353,71010281.68735944,308733109.93417925
2013,17136523735.858232,22457545513.121914,7943076015.318363,55875836.58246802,273828471.2441234
2014,25158814841.56474,25326560456.04095,7457434279.312496,235518228.5943908,254726059.68156666
2015,31184874673.901917,27713592357.806694,8170275625.978123,32088252.56714285,204012870.83752742
2016,28794387648.157955,24219693865.213165,8009177664.748924,21580173.563190214,179454796.13855854
2017,31085822650.515297,24135835838.837925,7631847284.915027,25489381.41931148,201352105.4714542
2018,40856102862.78322,27351421890.220554,6782070069.088058,26509590.10905109,215887512.47231394
2019,32869186554.77555,28948421220.1438,7016589305.635704,41151442.904894456,233271252.00942805
2020,26948084242.28754,25222974895.77814,5222892550.650286,13913680.30403268,137849079.28004768
2021,28180468546.082012,23159736211.863213,4159152734.061443,6414527.648697224,23925223.258845303
2022,35333748637.07859,31116775524.646343,5546247629.300838,10192780.724351985,55493715.66963192
2023,37238026559.15114,31022798930.7802,5571934734.523586,21000161.681071695,62022367.18904797
2024,38142109015.76312,24739695432.53236,5113529134.651191,11096616.067172969,451954758.85922414
