anio,amount_usd,X_exports,tf_exports_ratio,tf_trade_ratio
2010,9235236517.583261,38698457.155,0.02,0.01
2011,39732235911.587166,47955763.538,0.08,0.05
2012,40629859499.24611,51832544.299,0.08,0.04
2013,47866849572.1251,48089246.165,0.1,0.04
2014,58433053865.194145,40607920.226,0.14,0.07
2015,67304843781.0914,37521413.582,0.18,0.08
2016,61224294147.82179,38505212.741,0.16,0.08
2017,63080347261.15902,46247534.41,0.14,0.07
2018,75231991924.6732,49205136.636,0.15,0.08
2019,69108619775.46938,48514347.894,0.14,0.08
2020,57545714448.30005,42307778.195,0.14,0.07
2021,55529697242.91421,58860115.715,0.09,0.05
2022,72062458287.41975,63170426.845,0.11,0.06
2023,73915782753.32504,66596728.685,0.11,0.06
2024,68458384957.87307,,,
